All,Kõik
"Edit Newsletter","Muuda uudiskirja"
"Newsletter Styles","Uudiskirja stiilid"
"Edit Newsletter Template","Muuda uudiskirja malli"
"New Newsletter Template","Uus uudiskirja mall"
"Queue Newsletter","Pane uudskiri järjekorda"
"Newsletter Problems Report","Uudiskirja probleemide aruanne"
"Newsletter Problem Reports","Uudiskirja probleemide aruanded"
"Create Newsletter Template","Loo uudiskirja mall"
"The newsletter template has been saved.","Uudiskirja mall salvestatud."
"Your subscription has been confirmed.","Tellimus kinnitatud."
"Thank you for your subscription.","Täname liitumise eest."
Cancelled,Tühistatud
"Choose Store View:","Vali poevaade:"
"Newsletter Message Preview","Uudiskirja sõnumi eelvaade"
"Sign Up for Our Newsletter:","Liitu uudiskirjaga:"
"Enter your email address","Sisesta oma e-posti aadress"
Subscribe,Liitu
"Newsletter subscription confirmation","Uudiskirja liitumise kinnitus"
"Newsletter subscription success","Uudiskirja liitumine õnnestus"
"You have been successfully subscribed to our newsletter.","Olete liitunud uudiskirjaga."
"Newsletter unsubscription success","Uudiskirjast lahkumine õnnestus"
"You have been unsubscribed from the newsletter.","Uudiskirjaga liitumine tühistatud."
"Newsletter Template","Uudiskirja mall"
"Subscription Options","Tellimuse valikud"
"Error Code",Veakood
"Error Text",Veatekst
Recipients,Saajad
"Customer First Name","Kliendi eesnimi"
"Customer Last Name","Kliendi perekonnanimi"
"Newsletter Subscriptions","Uudiskirja tellimused"
"Send Check to:","Saada tshekk:"
"Purchase Order Number","Ostutellimuse Number"
"Purchase Order Number: %1","Ostutellimuse Number: %1"
"Export CSV","Ekspordi CSV"
"Free Shipping","Tasuta transport"
"Minimum Order Amount","Minimaalne Tellimuse Kogus"
"Export VCL for Varnish %1","VCL eksport Varnishi jaoks %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","TTL väärtus ""%1"" ei sobi. Kasutage ainult numbreid, mis on võrdne või suurem kui null."
"Built-in Cache","Sisseehitatud vahemälu"
"Full Page Cache","Kogu lehekülje vahemälu"
"We cannot retrieve the payment method model object.","Me ei saa tuua makseviisi mudeli objekti."
"All Allowed Countries","Kõik lubatud riigid"
"Please enter a valid credit card verification number.","Sisesta krediitkaardi kontrollkood."
"Please enter a valid credit card type number.","Sisesta korrektne krediitkaardi tüübi number."
"Please enter a valid credit card number.","Sisesta korrektne krediitkaardi number."
"Incorrect credit card expiration month.","Krediitkaardi vale aegumise kuu."
"Incorrect credit card expiration year.","Krediitkaardi vale aegumise aasta."
"Billing Agreements",Arvelduslepped
"Related Orders","Seotud tellimused"
"Ask Customer","Küsi kliendilt"
"Payer ID","Maksja ID"
Complaint,Kaebus
"Merchant Account","Kaupmehe konto"
"Invoice ID","Arve ID"
"General (Dividend)","Üldine (dividend)"
"Yes (PayPal recommends this option)","Jah (PayPal soovitab seda valikut)"
Status:,Staatus:
"Ship To",Saaja
"Please select a shipping method...","Vali tarneviis..."
"Items in Your Shopping Cart","toodet ostukorvis"
"Edit Shopping Cart","Muuda ostukorvi"
"Checkout with PayPal","Vormista tellimus PayPaliga"
"What is PayPal?","Mis on PayPal?"
Manage,Halda
"Merchant Location","Kaupmehe asukoht"
"Merchant Country","Kaupmehe riik"
"Express Checkout","Ekspress tellimuse vormistamine"
"Home Page",Avaleht
"Debug Mode","Debug režiim"
"Your shopping cart has been updated with new prices.","Teie ostukorvi hinnad on uuendatud vastavalt uutele hindadele."
"Method ""%1"" is not defined in ""%2""","Meetod ""%1"" ei ole määratletud ""%2"" 's"
"Welcome, %1!","Teretulemast, %1!"
"Not you?","Mitte sina?"
"Enable ""Remember Me""","Luba ""Jäta mind meelde"""
"""Remember Me"" Default Value","""Jäta mind meelde"" vaikeväärtust"
"Persist Wish List","Püsiv soovide nimekiri"
"Persist Recently Ordered Items","Püsivad hiljuti tellitud kaubad"
"Persist Currently Compared Products","Püsivalt Praegu võrreldavad tooted"
"Persist Recently Viewed Products","Hiljuti vaadatud tooted püsivad"
"Read Product Price","Loe toote hind"
"You saved the alert subscription.","Teatiste tellimus salvestatud."
"There are not enough parameters.","Ei ole piisavalt parameetreid."
"You deleted the alert subscription.","Kustutasite hoiatuse teatiste tellimuse."
"The product was not found.","Toodet ei leitud."
Price:,Hind:
Url,URL
"Get Video Information","Küsi Video teavet"
"New Video","Uus Video"
"Images and Videos","Pildid ja videod"
"Images And Videos","Pildid ja videod"
"Edit Catalog Price Rules","Muuda kataloogihinnareegleid"
"Edit Automated Email Reminder Rules","Automaatne e-kiri meeldetuletuse reeglite muutimne"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","See reegel on omistatud %1 automatiseeritud meeldetuletus(t)e reeglile. Selle reegli kustutamisel eemaldatakse omistus."
"Automated Email Marketing Reminder Rules","Automatiseeritud Emaili turunduse meeldetuletuste reeglid"
"No more than %1 customers may receive the reminder email after this action.","Mitte rohkem kui %1 klienti võivad saada teate peale seda toimingut."
"Edit Rule '%1'","Muuda reeglit '%1'"
Coupon,Kupong
"Rule Description for All Store Views","Reegli kirjeldus kõikide poevaadete jaoks"
"Titles and Descriptions Per Store View","Pealkirjad ja kirjeldused poevaate kohta"
Hourly,"Iga tund"
"5 minutes","5 minutit"
"10 minutes","10 minutit"
"15 minutes","15 minutit"
"20 minutes","20 minutit"
"30 minutes","30 minutit"
subtotal,vahesumma
"grand total","kõik kokku"
weight,kaal
"Coupon Code",Sooduskood
is,on
"is not",pole
Interval,Intervall
"New Accounts","Uued kontod"
"Customers by number of orders","Kliendid tellimuste arvu järgi"
"Customers by Orders Total","Kliendid käibe järgi"
"Date Used","Kasutatud kuupäev"
"Show Reviews","Näita arvustusi"
"Products Ordered","Tellitud tooted"
"Show Report","Näita raportit"
"Customers Reviews","Klientide arvustused"
"Products Reviews",Tootearvustused
"Coupons Usage Report","Kupongide kasutusraport"
"Sales Discount","Müügi allahindlused"
"Invoiced Orders","Arveldatud tellimused"
"Refunded Orders","Tagastatud tellimused"
Paid,Makstud
"Sales Tax",Müügimaks
"Total Shipping","Tarne kokku"
"Tax Amount",Maksusumma
"Abandoned carts","Hüljatud ostukorvid"
"Products in carts","Tooteid ostukorvis"
"Products Most Viewed Report","Enimvaadatute toodete raport"
Reviews,Arvustused
"Product Reviews","Toote arvustused"
"Bestsellers Report","Enimmüüdute raport"
Coupons,Kupongid
"Tax Report",Maksuaruanne
"Abandoned Carts","Hüljatud ostukorvid"
"Most Viewed Products Report","Enimvaadatud toodete raport"
"Show By",Vali
"Select Date","Vali kuupäev"
"Search Terms",Otsisõnad
"The report displays the top 5 most viewed products for each interval.","Raportis kuvatakse iga vahemiku jaoks top 5 enim vaadatud tootdet."
"Order Updated","Tellimus uuendatud"
"Edit item","Muuda toodet"
Copy,Kopeeri
"Save Review","Salvesta arvustus"
"New Review","Uus arvustus"
"Review Details","Vaata lähemalt"
"Product Rating","Hinnang tootele"
Nickname,Hüüdnimi
"Delete Review","Kustuta arvustus"
Author,Autor
"Pending Reviews","Ootel arvustused"
"All Reviews","Kõik arvustused"
"Manage Ratings","Halda reitinguid"
"Add New Rating","Lisa uus reiting"
"Save Rating","Salvesta reiting"
"Delete Rating","Kustuta reiting"
"New Rating","Uus reiting"
"Pending Reviews RSS","Ootel arvustuste RSS"
"Reviews %1","%1 arvustust"
"Customer Reviews","Kliendi arvustused"
"You submitted your review for moderation.","Olete esitanud arvustuse modereerimiseks."
Approved,Kinnitatud
"Please enter a nickname.","Palun sisestage hüüdnimi."
"You have submitted no reviews.","Teil pole ühtegi arvustust."
"My Recent Reviews","Minu viimased arvutused"
"View All","Vaata kõiki"
"Average Customer Rating:","Keskmine hinnang:"
"Back to My Reviews","Tagasi Minu arvustustesse"
"Be the first to review this product","Ole esimene arvustaja"
"You're reviewing:","Arvustatav toode:"
"Your Rating","Sinu hinnang"
"Submit Review","Esita arvustus"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Ainult registreerunud kasutajad saavad arvustada. <a href=""%1"">Logi sisse</a> või <a href=""%2"">registreeru</a>"
"Add Your Review","Lisa arvustus"
"Review by","Arvustuse tegija"
"Average Customer Rating","Keskmine hinnang"
"Allow Guests to Write Reviews","Luba arvustada sisse logimata"
"Reward Points History","Boonuspunktide ajalugu"
"Expired reward","Aegunud boonus"
"No Data","Andmeid pole"
"You saved the settings.","Seaded salvestatud."
"Signed up for newsletter with email %1","Uudiskirjaga liituti aadressiga %1"
First,Esimene
"Newsletter Signup","Uudiskirja liitumine"
"Subscribe to our newsletter now and earn %1.","Liitu meie uudiskirjaga kohe ning teeni %1."
Return,Tagasi
Returns,Tagastused
"New Return Request","Uus tagastamise nõue"
"Grand Total (Base)","Kõik kokku (põhi)"
"Grand Total (Purchased)","Kõik kokku (Makstud)"
"Submit Comment","Esita kommentaar"
"Show Packages","Kuva pakette"
Returned,Tagastatud
Split,Poolita
"Reason to Return","Põhjus tagastamiseks"
"Please enter a tracking number.","Sisestage jälgimise number."
"Please enter a valid value.","Palun sisestage korrektne väärtus."
"My Returns","Minu tagastused"
"Order # ","Tellimus # "
"Approved Qty","Kinnitatud kogus"
"Customer Name","Kliendi nimi"
"Customer Service",Klienditeenindus
"Not Notified",Teavitamata
"Delete Line","Kustuta rida"
"Change shipping method.","Vaheta tarneviis."
"Return Status","Tagastuse staatus"
"You have placed no returns.","Te pole esitanud ühtegi tagastust."
Packages,Pakid
Package,Pakk
Length,Pikkus
"Total Weight",Kogukaal
"Show Details","Vaata üksikasju"
Questions,Küsimused
Answers,Vastused
"Leave Comment","Jäta kommentaar"
Feed,Uudisvoog
"RSS Feeds Section","RSS vogude valik"
"RSS Feeds","RSS vood"
"Enable RSS","Luba RSS"
"Please choose a valid discount amount.","Valige kehtiv allahindluse määr."
"Please specify Customer Groups.","Määrake kliendigruppe."
"Perform following actions","Teosta järgmised toimingud"
ALL,KÕIK
ANY,MÕNI
TRUE,ÕIGE
FALSE,VALE
"Credit Memos",Kreeditarved
Invoices,Arved
"We can't get the order instance right now.","Tellimus on hetkel kättesaamatu."
"Create New Order","Loo uus tellimus"
"Save Order Address","Salvesta tellimuse aadress"
"Submit Order","Esita tellimus"
"Order Comment","Tellimuse märkused"
"Please select a customer","Vali klient"
"Edit Order #%1","Muuda tellimust #%1"
"Create New Order for New Customer","Loo uus tellimus uuele kliendile"
"Items Ordered","Tellitud kaubad"
"This product does not have any configurable options","Sellel tootel puuduvad konfigureeritavad võimalused"
"Please select products","Valige tooted"
"Are you sure you want to delete all items from shopping cart?","Olete kindel et soovite kustutada kõik tooted ostukorvist?"
"Products in Comparison List","Tooted võrdlusnimekirjas"
"Last Ordered Items","Viimati tellitud tooted"
"Please select a store","Valige pood"
"Order Totals","Tellimus kokku"
"Shipping Incl. Tax (%1)","Tarne maksuga (%1)"
"Shipping Excl. Tax (%1)","Tarne maksuta (%1)"
"New Credit Memo for Invoice #%1","Uus kreeditarve arvele #%1"
"New Credit Memo for Order #%1","Uud kreeditarve tellimusele #%1"
"Refund Shipping (Incl. Tax)","Tagasta tarne (maksuga)"
"Refund Shipping (Excl. Tax)","Tagasta tarne (maksuta)"
"Refund Shipping","Tagasta tarne"
Refund,Tagastus
"Paid Amount","Makstud summa"
"Refund Amount","Tagastuse summa"
"Shipping Amount","Tarne summa"
"Shipping Refund","Tarne tagastus"
"Order Grand Total","Tellimuse kogusumma"
"Send Email","Saada kiri"
"Are you sure you want to send a credit memo email to customer?","Olete kindel et soovite saata kreeditarve e-posti kliendile?"
"Total Refund","Tagastus kokku"
"New Invoice for Order #%1","Uus arve tellimusele #%1"
"Submit Invoice","Esita arve"
"Credit Memo",Kreeditarve
"The invoice email was sent.","Arve e-post on saadetud."
"The invoice email wasn't sent.","Arve e-post on saatmata."
"Order Statuses","Tellimuste olekud"
"Create New Status","Loo uus olek"
"Edit Order Status","Muuda tellimuse olekut"
"Save Status","Salvesta olek"
"Store View Specific Labels","Poevaate spetsiifilised sildid"
Hold,Ootele
hold,"pane ootele"
Unhold,"Ootelt maha"
unhold,"võta ootelt maha"
"Accept Payment","Võta makse vastu"
"Invoice and Ship","Arve ja tarne"
Ship,Tarne
"Shipment #%1 created","Saadetis #%1 loodud"
"Invoice #%1 created","Arve #%1 loodud"
"Comments History","Kommentaaride ajalugu"
"Order History","Tellimuste ajalugu"
"Order Information","Tellimuse andmed"
"Order Invoices","Tellimuse arved"
Shipments,Saatedokumendid
"Order Shipments","Tellimuse saadetised"
Transactions,Tehingud
"Order View","Tellimuse vaade"
"Discount (%1)","Allahindlus (%1)"
Value,Väärtus
"Back to My Orders","Tagasi minu tellimuste juurde"
"About Your Refund",Tagastusest
"You have placed no orders.","Teil pole esitatud ühtegi tellimust."
"About Your Invoice",Arvest
"Print Order # %1","Prindi tellimus # %1"
Unassign,"Eemalda määramine"
"You canceled the order.","Tellimus tühistatud."
"New Order","Uus tellimus"
"The order no longer exists.","Tellimust enam ei eksisteeri."
"Edit Order","Muuda tellimust"
"You sent the order email.","Tellimuse e-post saadetud."
"You canceled the invoice.","Tellimus tühistatud."
"New Invoice","Uus arve"
"The invoice has been created.","Arve loodud."
"We canceled %1 order(s).","%1 tellimus(t) tühistatud."
"The payment has been accepted.","Makse vastu võetud."
"Transaction has been approved.","Tehing kinnitatud."
"Create New Order Status","Loo uus tellimuse olek"
"You saved the order status.","Tellimuse olek salvestatud."
"Orders and Returns","Tellimused ja tagastused"
"Validation is failed.","Valideerimine nurjus."
"Could not save an invoice, see error log for details","Ei saa arvet salvestada, vaata detaile veateadete logist"
"Please enter the street.","Palun sisestage tänav."
"Please enter the city.","Palun sisestage linn."
"Please enter the phone number.","Palun sisestage telefoni number."
"Please enter the zip/postal code.","Sisesta postiindeks."
"Please enter the country.","Palun sisestage maakond."
Backordered,Järeltellitud
Partial,Osaline
"Amount: %1.","Summa %1."
"Transaction ID: ""%1""","Kande ID: ""%1"""
"Order Date: ","Tellimuse kuupäev: "
"Sold to:",Ostja:
"Total Shipping Charges","Transport kokku"
"Total (ex)","Kokku (maksudeta)"
"Total (inc)","Kokku (maksudega)"
"Credit Memo # ","Kreeditarve # "
"Invoice # ","Arve # "
"New Orders","Uued tellimused"
"Order #%1 created at %2","Tellimus #%1 loodud %2"
"Notified Date: %1","Teavitamise kuupäev: %1"
"Comment: %1<br/>","Kommentaar: %1 <br/>"
"Total: %1<br/>","Kokku: %1 <br/>"
"Could not save a shipment, see error log for details","Ei saa saadetist salvestada, vaata detaile veateadete logist"
"Pending Payment","Makse ootel"
"On Hold",Ootel
Complete,Valmis
"Suspected Fraud","Pettuse kahtlus"
"Payment Review","Makse ülevaade"
"Order Comments","Tellimuse kommentaarid"
"Order Currency:","Tellimuse valuuta:"
"Same As Billing Address","Sama mis arveaadress"
"Move to Shopping Cart","Tõsta ostukorvi"
"Grand Total Excl. Tax","Kokku maksudeta"
"Grand Total Incl. Tax","Kokku maksudega"
"Payment &amp; Shipping Method","Makse- &amp; Tarneviisid"
"No Items","Kirjeid pole"
"Customer Name: %1","Kliendi nimi: %1"
"Purchased From: %1","Ostetud: %1"
"Shipping &amp; Handling","Transport &amp; Käitlemine"
"Create Shipment","Loo saadetis"
"Qty to Invoice","Arveldatud kogus"
"Invoice History","Arvete ajalugu"
"Invoice Comments","Arve kommentaarid"
"Invoice Totals","Arve kogusumma"
"Total Tax","Maksud kokku"
"From Name","Saatja nimi"
"To Name","Saaja nimi"
"Order & Account Information","Tellimuse & Tellija Informatsioon"
"The order confirmation email was sent","Tellimuse kinnitus on saadetud"
"Order Date","Tellimuse kuupäev"
"Order Date (%1)","Tellimuse kuupäev (%1)"
"Purchased From",Ostetud
"Link to the New Order","Uue tellimuse link"
"Placed from IP","Tehtud IP aadresilt"
"Is Closed","On suletud"
"ZIP Code",Postiindeks
"Billing ZIP Code","Arve Postiindeks"
"Print Order","Prindi tellimus"
"Print All Invoices","Trüki kõik arved"
"Print Invoice","Trüki arve"
"Shipment #%1","Saadetis #%1"
"Recent Orders","Viimased tellimused"
"Recently Ordered","Hiljuti tellitud"
"Credit memo for your %store_name order","Teie kreeditarve %store_name poest"
"Thank you for your order from %store_name.","Suur tänu teie tellimuse eest %store_name poest."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Saate oma tellimuse staatust jälgida kui <a href=""%account_url"">logite oma kontole sisse</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Kui teil on küsimusi oma tellimuse kohta, siis saatke meile e-mail aadressil <a href=""mailto:%store_email"">%store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Teie krediidi info #%creditmemo_id tellimusele #%order_id"
"Billing Info","Arveldamise info"
"Update to your %store_name credit memo","Uuendus teie %store_name krediidi infole"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Teie tellimusel #%increment_id on muudetud staatust <strong>%order_status</strong>."
"Invoice for your %store_name order","%store_name arve"
"Your Invoice #%invoice_id for Order #%order_id","Teie arve nr%invoice_id tellimusele nr%order_id"
"Update to your %store_name invoice","Uuendus %store_name arvele"
"Your %store_name order confirmation","%store_name tellimuse kinnitus"
"Once your package ships we will send you a tracking number.","Saadame Teile jälgmisnumbri niipea kui oleme paki teele pannud."
"Your Order <span class=""no-link"">#%increment_id</span>","Teie tellimus <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Tellimus tehtud <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Uuendage oma %store_name tellimust"
"Your %store_name order has shipped","Teie %store_name tellimus on teele pandud"
"Your shipping confirmation is below. Thank you again for your business.","Täname teid tellimuse eest. Alltoodult on teie tarneinfo."
"Your Shipment #%shipment_id for Order #%order_id","Teie saadetise #%shipment_id tellimusele #%order_id"
"Update to your %store_name shipment","Uuendatud info teie %store_name tellimusele"
Operations,Toimingud
"Send Order Email","Saada tellimuse e-post"
"Include Tax to Amount","Lisa maksud summasse"
"Shipment Comments","Saadetise kommentaarid"
"ZIP/Post Code",Postiindeks
"Invoice Date","Arve kuupäev"
"Ship Date",Lähetuskuupäev
"Tax Percent",Maksuprotsent
"Print Invoices","Trüki arved"
"Purchase Date","Tellimuse kuupäev"
"Shipping and Handling","Tarne ja käitlemine"
"Move to Archive","Tõsta arhiivi"
"Move to Order Management","Liiguta Tellimuste haldusesse"
"Orders, Invoices, Shipments, Credit Memos Archiving","Tellimuste, arvete, saatedokumentide ja kreeditarvete arhiveerimine"
"Enable Archiving","Luba arhiveerimine"
"Sales Archive",Müügiarhiiv
"Are you sure you want to delete this?","Oled sa kindel, et soovid seda kustutada?"
"Manage Coupon Codes","Halda sooduskoode"
"Times Used","Kordi kasutatud"
Coupons/Discounts,Kupongid/hinnasoodustused
"Fixed amount discount","Fikseeritud allahindluse summa"
"Fixed amount discount for whole cart","Fikseeritud allahindluse summa tervele ostukorvile"
"Buy X get Y free (discount amount is Y)","Osta X saa Y tasuta (allahindluse summa on Y)"
"Shipping Postcode",Tarneindeks
"Shipping Region",Tarnepiirkond
"Shipping State/Province",Tarnemaakond
"Shipping Country",Tarneriik
"Conditions combination","Tingimuste kombinatsioon"
"Price in cart","Hind ostukorvis"
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","Töötlemisel tekkis tõrge: kupongi %1 aegumistähtaega ei uuendatud. Veateade: %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Tuleviku uuendus selles ajavahemikus juba eksisteerib. Valige teine ajavahemik."
"Not enough arguments","Ei ole piisavalt argumente"
"Fatal Error","Saatuslik viga"
"Add Scheduled Export","Lisa ajastatud eksport"
"Add Scheduled Import","Lisa ajastatud import"
"Server Type","Serveri tüüp"
"File Mode","Faili režiim"
"Passive Mode","Passiivne režiim"
"File Format",Failivorming
"File Name","Faili nimi"
"Unable to delete the cron task.","Croni kande kustutamine ebaõnnestus."
"Unknown file format","Tundmatu failivorming"
"Stop Import","Peata import"
"Continue Processing","Jätka töötlemist"
"Search Term",Otsisõna
"Search Synonyms","Otsi sünonüüme"
"Save Search","Salvesta otsing"
"Delete Search","Otsingu kustutamine"
"Edit Search '%1'","Muuda otsingut '%1'"
"New Search","Uus otsing"
"Number of results","Tulemuste arv"
"Number of Uses",Kasutamiskordi
"This search no longer exists.","See otsing enam ei eksisteeri."
"Edit Search","Muuda otsingut"
"    All Store Views","    Kõik poevaated"
"Search entire store here...","Otsi kogu poest..."
"Search Engine",Otsimootor
Hits,Klikke
"Account Activity","Konto tegevus"
"All other open sessions for this account were terminated.","Selle kasutaja muud avatud sessioonid lõpetati."
"Someone logged into this account from another device or browser. Your current session is terminated.","Keegi logis sisse selle kontoga teisest seadmest või brauserist. Teie praegune sessioon lõpetati."
"Your current session is terminated by another user of this account.","Teie sesioon lõpetati teise sama konto kasutaja poolt."
"Your current session has been expired.","Teie praegune sessioon on aegunud."
"Some emails were not sent.","Mõned e-kirjad jäid saatmata."
"Welcome, %name","Teretulemast, %name"
"Allow for Guests","Luba registreerimata kasutajatele"
"Max Recipients","Maksimaalne saajate hulk"
Assigned,Määratud
"New Shipment for Order #%1","Uus saadetis tellimusele %1"
"Submit Shipment","Saada postitus"
"The value that you entered is not valid.","Teie sisestatud väärtus ei sobi."
"New Shipment","Uus saadetis"
"This shipping method is not available. Please specify the zip code.","See tarneviis pole saadaval. Palun täpsusta postiindeks."
"Shipment Total","Saadetis kokku"
"Shipping &amp; Handling Information","Tarne &amp; käitlemise info"
"Shipment #","Saadetis #"
"Local Time","Kohalik aeg"
"Save & Generate","Salvesta ja genereeri"
"Edit Sitemap","Muuda SiteMap'i"
"Add Sitemap","Lisa Sitemap"
"You saved the sitemap.","Sisukaart salvestatud."
Yearly,"Iga aasta"
"We were unable to perform the search because of a search engine misconfiguration.","Me ei suutnud otsingut täita, sest otsingu mootori konfiguratsioon on vigane."
"Partial commit","Osaline teostamine"
"Solr Server Hostname","Solr serveri aadress"
"Solr Server Port","Solr serveri port"
"Solr Server Username","Solr serveri kasutajatunnus"
"Solr Server Password","Solr serveri salasõna"
"Indexation Mode",Indekseerimisrežiim
"Current store is not active.","Praegune poevaade ei ole aktiivne."
"Invalid store parameter.","Sobimatu poe parameeter."
"Default store is inactive","Vaikimisi pood pole aktiivne"
"Database DDL operations","Andmebaasi DDL toimingud"
"Backup Log Details","Varunduse logi üksikasjad"
"&copy; Magento Commerce Inc., %1","© Magento kaubandus Inc, %1"
"File does not exist","Fail puudub"
"Cron Expression","Croni avaldis"
"All Configurable Cron Jobs","Kõik seadistavad croni tööd"
"Core Configurable Cron Jobs","Tuuma seadistatavad croni tööd"
Method,Meetod
"Store Views List","Poevaadete nimekiri"
"Stores List","Poodide nimekiri"
"Error message!",Veateade!
"Show Log","Näita logi"
" (no data)"," (andmed puuduvad)"
"No data","Andmed puuduvad"
"Update Product Preview Image","Uuenda Toote Eelvaate Pilti"
"Related Products Rule","Seotud toodete reegel"
"General Rule Information","Reegli üldinformatsioon"
more,rohkem
"Show Related Products","Näita seotud tooteid"
"Show Cross-Sell Products","Näita lisamüügi tooteid"
"Show Upsell Products","Näita asendusmüügi tooteid"
"Tax Rate Information","Maksumäära info"
"Tax Identifier","Maksu tunnus"
"Zip/Post is Range","Postiindeks on vahemikus"
"Zip/Post Code",Postiindeks
"Rate Percent",Maksuprotsent
"Tax Titles","Maksu pealkirjad"
"Add New Tax Rate","Lisa uus maksumäär"
"Delete Rate","Kustuta määr"
"Save Rate","Salvesta määr"
"Manage Tax Rules","Halda maksureegleid"
"Add New Tax Rule","Lisa uus maksureegel"
"Save Rule","Salvesta reegel"
"Tax Rule Information","Maksumäära info"
"Customer Tax Class","Kliendi maksuklass"
"Product Tax Class","Toote maksuklass"
"Tax Rate",Maksumäär
"Add New Tax Class","Lisa uus maksuklass"
"Subtotal (Excl.Tax)","Vahesumma (maksuta)"
"Subtotal (Incl.Tax)","Vahesumma (maksuga)"
"Shipping & Handling (Excl.Tax)","Transport & Käitlemine (maksuta)"
"Shipping & Handling (Incl.Tax)","Transport & Käitlemine (maksuga)"
"Grand Total (Excl.Tax)","Kokku (maksudeta)"
"Grand Total (Incl.Tax)","Kokku (maksudeta)"
"Manage Tax Rates","Halda maksumäärasi"
"New Tax Rate","Uus maksumäär"
"Tax Zones and Rates","Maksutsoonid ja määrad"
"You deleted the tax rate.","Maksumäär kustutatud."
"Edit Tax Rate","Muuda maksumäära"
"You saved the tax rate.","Maksumäär salvestatud."
"The tax rule has been deleted.","Reegel kustutatud."
"New Tax Rule","Uus maksureegel"
"You saved the tax rule.","Maksureegel salvestatud."
"This class no longer exists.","Seda klassi enam ei eksisteeri."
"Shipping Origin","Saadetise päritolu"
"Grand Total (Excl. Tax)","Kokku (maksudeta)"
"Grand Total (Incl. Tax)","Kokku (maksudega)"
"Shipping (Excl. Tax)","Tarne (maksuga)"
"Shipping (Incl. Tax)","Tarne (maksuga)"
"Before Discount","Enne allahindlust"
"After Discount","Pärast allahindlust"
"Excl. tax:",Maksuta:
"An error occurred","Tekkis tõrge"
"Do you really want to delete this tax rate?","Olete kindel et soovite kustutada seda maksumäära?"
"Add New Class","Lisa uus klass"
Taxes,Maksud
"Tax Section",Maksud
"Tax Classes",Maksuklassid
"Tax Class for Shipping","Transpordi maksuklass"
"Default Tax Class for Product","Vaikimsi maksuklass tootele"
"Default Tax Class for Customer","Vaikimsi maksuklass kliendile"
"Calculation Settings","Arvutuse seaded"
"Tax Calculation Method Based On","Maksukalkulatsiooni meetodi baas"
"Catalog Prices","Kataloogi hinnad"
"Shipping Prices","Tarne hinnad"
"Apply Tax On","Rakenda maksud"
"Default Tax Destination Calculation","Vaikimisi maksu sihtkoha kalkulatsioon"
"Default State","Vaikimsi riik"
"Default Post Code","Vaikimisi postiindeks"
"Price Display Settings","Hinna vaate seaded"
"Display Shipping Prices","Näita tarne hindasi"
"Shopping Cart Display Settings","Ostukorvi vaate seaded"
"Display Prices","Näida hindu"
"Display Subtotal","Kuva vahesumma"
"Display Shipping Amount","Näita tarne summat"
"Include Tax In Order Total","Lisa maksud kogu tellimuse summale"
"Display Full Tax Summary","Näita kogu maksu kokkuvõtet"
"Display Zero Tax Subtotal","Näita null maksu vahesummat"
"Orders, Invoices, Credit Memos Display Settings","Tellimuste, arvete, kreeditarvete vaate seaded"
State/Region,Maakond
"Subtotal Only","Vahesumma ainult"
"(Excl. Tax)",(Maksudeta)
"(Incl. Tax)",(Maksudega)
"Order Total Excl. Tax","Kokku maksudeta"
"Order Total Incl. Tax","Kokku maksudega"
"Save Configuration","Salvestada konfiguratsioon"
"Upload Images","Lae pildid üles"
"Insert File","Lisa fail"
welcome,teretulemast
"You saved the theme.","Kujundus salvestatud."
"Report All Bugs","Teavita leitud vigadest"
"1 column","1 veerg"
"Default welcome msg!","Vaikimisi tervitus!"
"HTML Head","HTML päis"
"Favicon Icon","Faviconi pilt"
"Display Demo Store Notice","Kuva testpoe teadet"
"Logo Attribute Width","Logo atribuudi laius"
"Logo Attribute Height","Logo atribuudi kõrgus"
"Welcome Text",Tervitussõnum
"Miscellaneous HTML","Täiendav HTML"
Menu,Menüü
Account,Konto
"2 columns with left bar","2 veergu vasakpoolse ribaga"
"2 columns with right bar","2 veergu parempoolse ribaga"
"3 columns","3 veergu"
"Dictionary (Translation on Storefront side)","Sõnastik (tõlge poe poolel)"
"Embedded (Translation on Admin side)","Põimitud (tõlge Admin poolel)"
Translations,Tõlked
"Translation files","Tõlke failid"
"Condition type ""%1"" is not allowed","Tingimuse tüüp ""%1"" ei ole lubatud"
"New %1","Uus %1"
"Default View","Vaikimisi vaade"
"Search by keyword","Otsi märskõnaga"
"Please enter a valid email address (Ex: johndoe@domain.com).","Palun sisestage kehtiv e-posti aadress (Nt: tiit@domeen.ee)."
